#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:36Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:37Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:38Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:39Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:40Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:41Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:42Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:43Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:44Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:45Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:46Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:47Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:48Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:49Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:50Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:51Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:52Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:53Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:54Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:55Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:56Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:57Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:58Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:59Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:00Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:01Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:02Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:03Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:04Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:05Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:06Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:07Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:08Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:09Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:10Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:11Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:12Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:13Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:14Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:15Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:16Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:17Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:18Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:19Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:20Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:21Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:22Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:23Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:24Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:25Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:26Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:27Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:28Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:29Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:30Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:31Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:32Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:36Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:37Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:38Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:39Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:40Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:41Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:42Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:43Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:44Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:45Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:46Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:47Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:48Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:49Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:50Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:51Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:52Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:53Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:54Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:55Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:56Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:57Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:58Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:59Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:00Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:01Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:02Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:03Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:04Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:05Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:06Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:07Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:08Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:09Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:10Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:11Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:12Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:13Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:14Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:15Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:16Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:17Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:18Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:19Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:20Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:21Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:22Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:23Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:24Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:25Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:26Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:27Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:28Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:29Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:30Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:31Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:32Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
